geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,,,,,,,,,,,,,,63,64,63,66,68,66,64,63,64,65,63,67,65,61,55,58,60
ago,Angola,,,,,,,,,,,,,,,,,43,45,47,49,50,52,54,55,59,59,56,63,57,51,45,42,54
alb,Albania,,,,,,,,,,96,96,96,97,99,98,98,98,99,98,99,99,99,99,98,99,98,99,99,99,98,98,97,97
and,Andorra,,,,,,,,55,80,,,,,,,,,,,,,,,,,,,,,,,,
are,UAE,,,,,,,,,94,92,92,92,92,92,92,92,92,92,93,94,95,96,98,99,99,99,98,99,98,91,95,95,96
arg,Argentina,,,,,,,,49,86,,,66,73,81,88,84,85,90,94,94,91,91,94,94,94,92,86,86,83,74,81,84,66
arm,Armenia,,,,,,,,,,55,69,91,93,91,91,78,85,89,93,94,95,95,95,93,94,94,94,92,92,92,93,96,94
aus,Australia,,,,,,,77,82,87,,,,,,,,,,,,,,,,,,,,,,,,
aut,Austria,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,
aze,Azerbaijan,,,,,,,,,,,,50,51,50,49,52,62,68,74,80,84,88,93,94,96,97,95,95,94,79,89,83,83
bdi,Burundi,,,,,,,,,,,,,,83,87,92,99,92,94,96,96,96,96,95,94,94,91,90,93,93,94,91,89
bel,Belgium,,,20,16,13,10,6,33,59,,,,,,,,,,,,,,,,,,,,,,,,
ben,Benin,,,,,,,,,,,,15,73,75,70,74,82,75,79,76,75,80,77,74,74,76,75,73,72,70,70,69,69
bfa,Burkina Faso,,,,,,,,,,,,,,,,76,89,93,92,91,91,90,88,91,91,91,91,91,91,91,91,93,94
bgd,Bangladesh,,,,,,,,,,,,,5,11,45,86,95,96,97,94,96,94,96,97,98,98,98,98,98,98,98,98,98
bgr,Bulgaria,,,,,,,,,,94,93,88,96,94,96,96,95,96,96,95,96,95,95,95,92,91,92,85,93,91,89,91,92
bhr,Bahrain,,,,,,,,39,96,,,,,,,,,,,,,,,,,,,,,,,,
bhs,Bahamas,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,36,93,90,94,88,90,89,88,92,91,89,82,78,77,80,80,79,79,78,77
blr,Belarus,,,,,,,,,,70,93,99,56,99,99,98,91,98,98,96,98,97,98,97,99,96,98,98,97,97,98,98,97
blz,Belize,,,,,,,,,,76,96,97,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98,79,83,84,85
bol,Bolivia,,,,,,,,,,77,77,77,80,84,85,83,84,88,93,91,95,93,87,85,89,87,84,83,75,68,70,69,67
bra,Brazil,,,,,,,,,,94,91,92,97,96,98,99,99,96,99,96,98,96,96,96,96,89,82,87,72,77,68,77,90
brn,Brunei,,,,,,,,,,99,99,99,99,99,99,99,97,96,96,96,93,99,98,99,99,99,99,99,99,99,99,99,99
btn,Bhutan,,,,,,,,,,98,89,83,95,89,95,95,95,96,93,91,95,97,97,99,99,98,98,97,97,96,98,98,99
bwa,Botswana,,,,,,,,,,86,87,88,90,91,92,93,93,94,94,95,95,95,95,95,95,95,95,95,95,95,95,86,95
caf,Central African Republic,,,,,,,,,,,,,,,,,,,42,45,47,47,23,45,43,42,42,42,42,42,42,42,42
can,Canada,,,,,,84,87,88,88,,,,,,,,,,,,,,,,,,,,,,,,
che,Switzerland,,,,,,,,77,91,,,,,,,,,,,,,,,,,,,,,,,,
chl,Chile,,,,,,91,90,90,95,,,,,,,95,92,95,94,92,94,90,90,95,97,95,93,95,96,93,95,96,96
chn,China,,,,,,,,,,60,65,70,75,79,84,91,92,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97
civ,Cote d'Ivoire,,,,,,,,,,,10,48,63,67,76,77,76,74,81,79,62,82,75,73,79,87,83,83,79,72,73,73,79
cmr,Cameroon,,,,,,,,,,,,,,,79,81,82,84,80,84,82,85,76,76,76,78,74,68,67,68,71,71,75
cod,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,65,68,71,60,70,71,71,73,70,70,71,71,73,70,65,65,60
cog,"Congo, Rep.",,,,,,,,,,,,,,,,,64,73,75,74,70,62,85,90,80,71,69,75,79,73,77,78,78
col,Colombia,,,,,,,,62,64,78,80,78,92,89,93,93,94,92,92,88,85,92,91,90,91,91,92,92,92,88,86,87,90
com,Comoros,,,,,,,,,,,,,28,77,68,69,75,81,83,74,83,86,83,80,80,75,79,77,78,74,72,78,75
cpv,Cape Verde,,,,,,,,,,,,40,66,91,93,95,96,98,98,98,90,94,93,95,93,96,96,98,96,93,93,93,93
cri,Costa Rica,,,,,,,,26,68,89,80,94,86,89,90,88,89,89,87,89,84,91,94,91,92,97,97,98,94,91,87,94,98
cub,Cuba,,,,,,,,,99,98,98,98,99,99,95,89,93,95,96,96,96,96,96,97,99,99,99,99,99,99,99,99,99
cze,Czech Republic,,,,,,,,,,,,86,92,98,99,98,99,99,99,99,99,99,99,99,97,96,94,96,97,96,94,94,94
deu,Germany,60,74,80,82,85,88,88,90,92,,,,,,,,,,,,,,,,,,,,,,,,
dji,Djibouti,,,,,,,,,,,,,,,,,25,88,89,88,87,81,82,78,84,68,76,84,85,70,59,59,72
dma,Dominica,,,,,,,,,,,,,,,,7,93,96,99,98,98,97,96,97,98,99,91,94,99,97,92,82,56
dnk,Denmark,,,82,88,78,93,99,97,95,,,,,,,,,,,,,,,,,,,,,,,,
dom,Dominican Republic,,,,,,,,,,68,66,63,79,82,87,84,81,81,80,83,80,74,80,89,81,80,81,84,87,81,83,87,90
dza,Algeria,,,,,,,,,,,,,,81,83,80,90,91,94,95,95,95,95,95,95,91,91,91,88,84,81,77,94
ecu,Ecuador,,,,,,,,,,36,69,75,82,88,92,96,94,93,91,90,88,88,87,83,78,83,85,85,85,70,68,70,70
egy,Egypt,,,,,,,,,,98,99,97,98,97,98,98,98,97,97,97,96,93,97,94,93,95,94,95,95,94,96,97,96
eri,Eritrea,,,,,,,,,,,,86,91,84,96,94,95,95,95,95,94,94,94,94,95,95,95,95,95,95,95,95,95
esp,Spain,,,,,,,,82,82,,,,,,,,,,,,,,,,,,,,,,,,
est,Estonia,,,,,,,,,,,,,,90,95,95,95,94,95,94,94,94,93,93,91,93,92,93,91,90,84,84,84
eth,Ethiopia,,,,,,,,,,,,,,,,,47,52,56,62,65,62,59,61,63,66,68,67,68,71,65,65,72
fin,Finland,,97,97,93,94,96,96,96,96,96,96,96,96,96,98,98,97,98,98,99,99,99,98,98,97,92,89,91,91,90,89,91,91
fji,Fiji,,,,,,,98,98,98,98,98,99,99,99,99,99,99,98,99,98,99,99,99,99,99,95,91,94,97,99,99,99,99
fra,France,,,,,,,,79,85,26,28,29,28,35,35,39,42,47,51,64,74,78,82,83,88,90,90,91,93,95,95,96,96
fsm,"Micronesia, Fed. Sts.",,,,,,,,,40,87,81,85,89,80,91,84,90,89,89,88,83,82,83,81,78,76,80,83,84,88,79,75,85
gab,Gabon,,,,,,,,,,,,,,,28,52,75,82,79,67,75,82,79,70,80,75,75,70,70,63,75,60,70
gbr,UK,,,89,93,94,95,92,91,92,,,,,,,,,,,,,,,,,,,,,,,,
geo,Georgia,,,,,,,,,,55,61,51,48,64,79,84,94,89,54,95,89,92,96,91,94,92,91,93,94,88,85,85,93
gha,Ghana,,,,,,,,,,,,80,80,80,84,84,94,93,94,94,91,92,90,98,88,93,99,97,97,94,98,99,95
gin,Guinea,,,,,,,,,,,,,,,,,57,57,57,64,63,57,50,44,47,47,47,47,47,47,47,47,47
gmb,Gambia,,,,,,,,97,94,91,91,92,94,95,95,95,97,98,97,97,96,98,97,96,97,95,92,93,88,85,82,79,84
gnb,Guinea-Bissau,,,,,,,,,,,,,,,,,,,80,82,89,87,87,86,86,85,79,82,78,74,67,74,74
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,53,40,53,56,59,62,64,67,70,74
