geo,name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,63,66,68,66,64,63,64,65,63,67,65,61,55,58,60
ago,Angola,,,,,,,,,,,,,,,,,,,43,45,47,49,50,52,54,55,59,59,56,63,57,51,45,42,54
alb,Albania,,,,,,99,88,96,97,94,96,,,,,,,,,,98,99,99,99,99,98,99,98,99,99,99,98,98,97,97
and,Andorra,,,,,,,,,75,80,75,,,,,,,,,,,,,,,,,,,,,,,,
are,UAE,,,,,90,90,90,90,90,96,92,92,92,94,94,94,94,92,92,92,93,94,95,96,98,99,99,99,98,99,99,90,96,96,96
arg,Argentina,,,,,,,,,,,,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,86,86,83,74,81,84,66
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,48,95,95,95,93,94,94,94,92,92,92,93,96,94
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,36,89,93,94,96,97,95,95,94,79,89,83,83
bdi,Burundi,,,,,,,,,,,,,,,,83,87,92,99,92,94,96,96,96,96,95,94,94,91,90,93,93,94,91,89
bel,Belgium,,,,,,,,,2,31,46,,,,,,,,,,,,,,,,,,,,,,,,
ben,Benin,,,,,,,,,,,,,,,,,35,74,82,75,79,76,75,80,77,74,74,76,75,73,72,70,70,69,69
bfa,Burkina Faso,,,,,,,,,,,,,,,,,,76,89,93,92,91,91,90,88,91,91,91,91,91,91,91,91,93,94
bgd,Bangladesh,,,,,,,,,,,,,,,,,,,,,97,94,87,94,96,97,98,98,98,98,98,98,98,98,98
bgr,Bulgaria,,,,71,96,94,95,94,77,97,97,,,,,,,,,,,91,95,95,95,83,87,92,92,92,92,91,89,91,92
bhr,Bahrain,,,,57,90,93,95,96,95,95,97,,,,,,,,,,,,,,,,,,,,,,,,
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,49,50,82,83,83,80,83,85,87,83,79,78,69,68,62,65,69,72,75,73
blr,Belarus,,,,,,,,,,,,,,,,,,,,6,19,,21,22,23,20,9,11,9,67,91,97,98,98,98
blz,Belize,,,,,,,,,,,,,96,89,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98,79,83,84,85
bol,Bolivia,,,,,,,,,,,,77,77,77,80,84,85,83,84,88,93,91,95,93,87,85,89,87,84,83,75,68,70,69,67
bra,Brazil,,,,,,4,10,15,6,13,84,90,93,93,94,95,96,97,98,99,99,99,99,95,98,95,96,89,79,83,72,77,68,77,90
brn,Brunei,,96,96,96,99,99,99,98,98,99,93,,,94,92,92,94,97,99,98,99,95,97,95,99,96,99,99,99,99,99,99,99,99,99
btn,Bhutan,,,,,,,,16,84,81,90,,,,,,,,,,,,,97,97,99,99,98,98,97,97,96,98,98,99
bwa,Botswana,,,,,,,73,62,60,77,85,,,,,,,,,,,,95,95,95,95,95,95,95,95,95,95,95,86,95
caf,Central African Republic,,,,,,,,,,,,,,,,,,,,,42,45,47,47,23,45,43,42,42,42,42,42,42,42,42
chl,Chile,,,,,,,,,,,,91,97,97,96,93,91,94,96,95,94,92,94,90,90,95,97,95,93,95,96,93,95,96,96
chn,China,,,,,,,,,,,,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97
civ,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,81,79,62,82,75,73,79,87,83,83,79,72,73,73,79
cmr,Cameroon,,,,,,,,,,,,,,,,,,,,,80,84,81,79,76,76,76,78,74,68,67,68,71,71,75
cod,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,71,60,70,71,71,73,70,70,71,71,73,70,65,65,60
cog,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,72,74,71,64,85,90,80,71,69,75,79,73,77,78,78
col,Colombia,,,,,,,71,95,85,75,77,65,55,69,93,89,93,93,94,92,92,88,85,92,91,90,91,91,92,92,92,88,86,87,90
com,Comoros,,,,,,,,,,,,,,,,,,,,,38,74,83,86,83,80,80,75,79,77,78,74,72,78,75
cpv,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,90,94,93,95,93,96,96,98,96,93,93,93,93
cri,Costa Rica,,,,,,,,,76,86,83,92,89,93,88,90,89,88,88,87,87,90,81,90,95,91,92,97,96,94,96,97,92,95,99
cub,Cuba,,,,,84,98,99,99,98,98,99,99,99,99,99,99,94,97,97,97,96,96,96,96,96,97,99,99,99,99,99,99,99,99,99
cyp,Cyprus,,,20,27,41,54,68,88,88,88,89,,,,,,,,,,,,,,,,,,,,,,,,
cze,Czech Republic,,,,,,,,,,,,,,95,97,98,97,97,99,99,99,99,99,99,99,99,97,96,94,96,97,96,94,94,94
deu,Germany,,,,,15,32,45,57,71,81,81,,,,,,,,,,,,,,,,,,,,,,,,
dji,Djibouti,,,,,,,,,,,,,,,,,,,25,89,89,88,87,81,82,78,84,68,76,84,85,70,59,59,72
dma,Dominica,,,,,,,,,,,,,,,,,,7,93,96,99,98,98,97,96,97,98,99,91,94,99,97,92,82,56
dom,Dominican Republic,,,,,,,,,,62,76,,20,43,75,80,87,80,70,79,77,81,71,70,75,87,76,73,77,78,79,80,83,86,88
dza,Algeria,,,,,,,,,,,,,,,,,,,,93,95,95,95,95,95,95,95,91,91,91,88,84,81,77,92
ecu,Ecuador,,,,,,,,,,,,,,,54,86,90,94,95,95,93,90,88,87,87,83,78,83,85,85,85,70,68,70,70
egy,Egypt,,,,,,57,74,77,81,88,97,,,,,,,,,,,,,,,94,93,95,94,95,95,94,96,97,96
eri,Eritrea,,,,,,,,,,,,,,,,,,,,95,95,95,94,94,94,94,95,95,95,95,95,95,95,95,95
esp,Spain,,,,,,,,82,84,81,80,,,,,,,,,,,,,,,,,,,,,,,,
est,Estonia,,,,,,,,,,,,,,,,27,37,88,95,95,95,94,93,94,94,93,93,93,93,92,91,91,89,89,89
eth,Ethiopia,,,,,,,,,,,,,,,,,,,47,52,56,62,65,62,59,61,63,66,68,67,68,71,65,65,72
fin,Finland,,,,,,,,,,,,96,96,96,97,97,97,97,98,97,98,98,97,97,97,96,95,94,94,96,96,95,93,94,94
fji,Fiji,,,,,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,91,94,97,99,99,99,99
fra,France,,,,,,,,,,27,24,86,86,87,87,97,97,97,97,97,97,97,98,98,98,97,96,95,95,95,96,96,96,96,96
